doi,Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,MonomerA_1,MonomerB_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,mu_e_2,mu_h_2,E_LUMO (eV)_2,E_HOMO (eV)_2,MonomerA_2,MonomerB_2
10.1002/adfm.201303219,PNDI-TVTO,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)s2)s1,1,0.0,1,0.2,0.0,-4.04,-5.63,*c1cc2c3c(c(*)cc4c3c1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,TVTOEt-BTOC12H25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc(OCCCCCCCCCCCC)c(-c4sc(*)cc4OCCCCCCCCCCCC)s3)s2)s1,1,0.0,1,0.0,0.00075,-3.48,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc(OCCCCCCCCCCCC)c(-c2sc(*)cc2OCCCCCCCCCCCC)s1
10.1002/adfm.201303219,PNDI-TVTO,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)s2)s1,1,0.0,1,0.2,0.0,-4.04,-5.63,*c1cc2c3c(c(*)cc4c3c1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,TVTOEt-BDTC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(CCCCCCCCCCCC)c5sc(*)cc5c(CCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.02,-3.18,-5.22,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(CCCCCCCCCCCC)c3sc(*)cc3c(CCCCCCCCCCCC)c2s1
10.1002/adfm.201303219,PNDI-TVTO,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)s2)s1,1,0.0,1,0.2,0.0,-4.04,-5.63,*c1cc2c3c(c(*)cc4c3c1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,TVTOEt-BDTOC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(OCCCCCCCCCCCC)c5sc(*)cc5c(OCCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.0003,-3.26,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(OCCCCCCCCCCCC)c3sc(*)cc3c(OCCCCCCCCCCCC)c2s1
10.1002/adfm.201303219,TVTOEt-BT,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3sc(-c4cc(CCCCCCCCCCCC)c(*)s4)cc3CCCCCCCCCCCC)s2)s1,1,0.0,1,0.0,0.0032,-3.37,-5.25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1sc(-c2cc(CCCCCCCCCCCC)c(*)s2)cc1CCCCCCCCCCCC,TVTOEt-BTOC12H25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc(OCCCCCCCCCCCC)c(-c4sc(*)cc4OCCCCCCCCCCCC)s3)s2)s1,1,0.0,1,0.0,0.00075,-3.48,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc(OCCCCCCCCCCCC)c(-c2sc(*)cc2OCCCCCCCCCCCC)s1
10.1002/adfm.201303219,TVTOEt-BT,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3sc(-c4cc(CCCCCCCCCCCC)c(*)s4)cc3CCCCCCCCCCCC)s2)s1,1,0.0,1,0.0,0.0032,-3.37,-5.25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1sc(-c2cc(CCCCCCCCCCCC)c(*)s2)cc1CCCCCCCCCCCC,TVTOEt-BDTC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(CCCCCCCCCCCC)c5sc(*)cc5c(CCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.02,-3.18,-5.22,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(CCCCCCCCCCCC)c3sc(*)cc3c(CCCCCCCCCCCC)c2s1
10.1002/adfm.201303219,TVTOEt-BT,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3sc(-c4cc(CCCCCCCCCCCC)c(*)s4)cc3CCCCCCCCCCCC)s2)s1,1,0.0,1,0.0,0.0032,-3.37,-5.25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1sc(-c2cc(CCCCCCCCCCCC)c(*)s2)cc1CCCCCCCCCCCC,TVTOEt-BDTOC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(OCCCCCCCCCCCC)c5sc(*)cc5c(OCCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.0003,-3.26,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(OCCCCCCCCCCCC)c3sc(*)cc3c(OCCCCCCCCCCCC)c2s1
10.1002/adfm.201303219,TVTOEt-BTOC12H25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc(OCCCCCCCCCCCC)c(-c4sc(*)cc4OCCCCCCCCCCCC)s3)s2)s1,1,0.0,1,0.0,0.00075,-3.48,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc(OCCCCCCCCCCCC)c(-c2sc(*)cc2OCCCCCCCCCCCC)s1,TVTOEt-BDTC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(CCCCCCCCCCCC)c5sc(*)cc5c(CCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.02,-3.18,-5.22,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(CCCCCCCCCCCC)c3sc(*)cc3c(CCCCCCCCCCCC)c2s1
10.1002/adfm.201303219,TVTOEt-BTOC12H25,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc(OCCCCCCCCCCCC)c(-c4sc(*)cc4OCCCCCCCCCCCC)s3)s2)s1,1,0.0,1,0.0,0.00075,-3.48,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc(OCCCCCCCCCCCC)c(-c2sc(*)cc2OCCCCCCCCCCCC)s1,TVTOEt-BDTOC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(OCCCCCCCCCCCC)c5sc(*)cc5c(OCCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.0003,-3.26,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(OCCCCCCCCCCCC)c3sc(*)cc3c(OCCCCCCCCCCCC)c2s1
10.1002/adfm.201303219,TVTOEt-BDTC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(CCCCCCCCCCCC)c5sc(*)cc5c(CCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.02,-3.18,-5.22,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(CCCCCCCCCCCC)c3sc(*)cc3c(CCCCCCCCCCCC)c2s1,TVTOEt-BDTOC12,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(OCCCCCCCCCCCC)c5sc(*)cc5c(OCCCCCCCCCCCC)c4s3)s2)s1,1,0.0,1,0.0,0.0003,-3.26,-5.2,*c1ccc(/C(OCC)=C(\OCC)c2ccc(*)s2)s1,*c1cc2c(OCCCCCCCCCCCC)c3sc(*)cc3c(OCCCCCCCCCCCC)c2s1
10.1002/adfm.201402307,TTIID-BT,*c1ccc(-c2ccc(-c3cc4sc5c(c4s3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C5=C3/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c4c3sc3cc(*)sc43)s2)s1,1,0.0,1,0.1,0.4,-3.6,-4.8,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(*)sc21,*c1ccc(-c2ccc(*)s2)s1,TTIID-BTz,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(-c3ccc(*)c4nsnc34)sc21,1,0.0,0,0.7,0.4,-3.9,-4.9,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(*)sc21,*c1ccc(*)c2nsnc12
10.1002/adfm.201402307,TTIID-BT,*c1ccc(-c2ccc(-c3cc4sc5c(c4s3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C5=C3/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c4c3sc3cc(*)sc43)s2)s1,1,0.0,1,0.1,0.4,-3.6,-4.8,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(*)sc21,*c1ccc(-c2ccc(*)s2)s1,TTIID-T,*c1ccc(-c2cc3sc4c(c3s2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(*)sc32)s1,1,0.0,0,0.2,0.2,-3.7,-4.8,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(*)sc21,*c1ccc(*)s1
10.1002/adfm.201402307,TTIID-BTz,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(-c3ccc(*)c4nsnc34)sc21,1,0.0,0,0.7,0.4,-3.9,-4.9,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(*)sc21,*c1ccc(*)c2nsnc12,TTIID-T,*c1ccc(-c2cc3sc4c(c3s2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C4=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(*)sc32)s1,1,0.0,0,0.2,0.2,-3.7,-4.8,*c1cc2sc3c(c2s1)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C3=C1/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1sc1cc(*)sc21,*c1ccc(*)s1
10.1002/adfm.201404540,PDPP[T]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,1,0.0,0,0.0,0.6,-3.69,-5.75,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,PDPP[T]2-TF 2,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5sc(*)c(F)c5F)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,1,0.0,0,0.21,0.25,-3.7,-5.91,*c1sc(*)c(F)c1F,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1
10.1002/adfm.201404540,PDPP[T]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,1,0.0,0,0.0,0.6,-3.69,-5.75,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,PDPP[Py]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)cn4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)nc1,1,0.0,0,0.63,0.0,-3.78,-6.08,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)cn4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)nc1
10.1002/adfm.201404540,PDPP[T]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,1,0.0,0,0.0,0.6,-3.69,-5.75,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,PDPP[Py]2-TF 2,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5sc(*)c(F)c5F)cn4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)nc1,1,0.0,0,0.15,0.0,-3.81,-6.11,*c1sc(*)c(F)c1F,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)cn4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)nc1
10.1002/adfm.201404540,PDPP[T]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,1,0.0,0,0.0,0.6,-3.69,-5.75,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,PDPP[Ph]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)cc4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)cc1,1,0.0,0,0.0,0.0008,-3.53,-5.97,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)cc4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)cc1
10.1002/adfm.201404540,PDPP[T]2-T,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,1,0.0,0,0.0,0.6,-3.69,-5.75,*c1ccc(*)s1,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,PDPP[Ph]2-TF 2,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5sc(*)c(F)c5F)cc4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)cc1,1,0.0,0,0.0,0.00015,-3.57,-6.04,*c1sc(*)c(F)c1F,*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(*)cc4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)cc1
